year,month,day,stop_was_initiated,issuing_officer_rank,observed_duration_minutes,suspected_crime_description,stop_duration_minutes,officer_explained_stop_flag,suspect_arrested_flag,summons_issued_flag,officer_in_uniform_flag,frisked_flag,searched_flag,weapon_found_flag,suspect_reported_age,suspect_sex,suspect_race_description,suspect_height,suspect_weight,suspect_body_build_type,suspect_eye_color,suspect_hair_color,stop_location_x,stop_location_y,stop_location_boro_name,seconds
2020,January,Saturday,Based on Radio Run,POF,1,ASSAULT,19,Y,Y,0,Y,N,N,N,73.0,MALE,BLACK HISPANIC,59.0,180.0,MED,BRO,Other,1026394,237834,BRONX,66120.0
2020,January,Sunday,Based on Radio Run,POM,1,LARCENY,5,Y,N,0,Y,N,N,N,45.0,MALE,WHITE,61.0,230.0,Other,BLU,BLN,985099,172028,BROOKLYN,2400.0
2020,January,Friday,Based on Self Initiated,POM,2,Other,3,Y,N,0,N,Y,Y,N,24.0,MALE,WHITE HISPANIC,58.0,175.0,MED,BRO,BLK,995052,231133,MANHATTAN,2880.0
2020,January,Friday,Based on Self Initiated,POM,1,Other,5,Y,N,0,N,Y,Y,N,14.0,MALE,WHITE HISPANIC,59.0,145.0,THN,BRO,BLK,1007554,235395,BRONX,85500.0
2020,January,Friday,Based on Self Initiated,POM,1,Other,8,Y,N,0,N,Y,Y,N,17.0,MALE,WHITE HISPANIC,56.0,160.0,THN,BRO,BLK,1007554,235395,BRONX,85500.0
2020,January,Friday,Based on Self Initiated,POM,1,Other,5,Y,Y,0,N,Y,Y,Y,15.0,MALE,BLACK,6.0,180.0,MED,BRO,BLK,1007554,235395,BRONX,85500.0
2020,January,Friday,Based on Self Initiated,POM,1,Other,8,Y,N,0,N,Y,Y,N,17.0,MALE,BLACK HISPANIC,51.0,180.0,THN,BRO,BLK,1007554,235395,BRONX,85500.0
2020,January,Sunday,Based on Self Initiated,POM,1,ASSAULT,10,Y,N,0,Y,Y,N,N,28.0,MALE,BLACK,6.0,180.0,MED,BRO,BLK,1007140,178783,BROOKLYN,14400.0
2020,January,Saturday,Based on Radio Run,POM,1,BURGLARY,2,Y,N,0,N,Y,N,N,37.0,MALE,WHITE HISPANIC,59.0,320.0,Other,BRO,BLK,1019139,212528,QUEENS,12300.0
2020,January,Sunday,Based on Radio Run,POM,1,ROBBERY,7,Y,N,0,N,Y,N,N,33.0,MALE,WHITE HISPANIC,55.0,180.0,MED,BRO,BLK,1021542,213647,QUEENS,10920.0
