SUSPECT_ARRESTED_FLAG,YEAR,OBSERVED_DURATION_MINUTES,DAY,MONTH,SUSPECT_WEIGHT,SUSPECT_HEIGHT,SUSPECT_REPORTED_AGE,STOP_DURATION_MINUTES,STOP_LOCATION_X,STOP_LOCATION_Y,SUMMONS_ISSUED_FLAG,SECONDS
Y,2020,1,Monday,January,200.0,58.0,39.0,20,938434,154230,0,79440.0
N,2020,1,Saturday,January,185.0,62.0,40.0,3,1007383,241421,0,33720.0
N,2020,0,Wednesday,January,195.0,55.0,29.0,10,1021932,262954,0,47880.0
N,2020,0,Friday,January,220.0,511.0,25.0,32,999206,224118,0,1980.0000000000002
N,2020,2,Saturday,January,170.0,6.0,35.0,5,1001116,234560,0,37800.0
Y,2020,1,Friday,January,150.0,6.0,17.0,1,1005984,234768,1,81600.0
N,2020,1,Friday,January,150.0,6.0,22.0,3,989669,187465,1,47160.0
Y,2020,1,Friday,January,145.0,51.0,14.0,10,1051397,157804,0,58800.00000000001
Y,2020,1,Friday,January,130.0,58.0,16.0,1,1051397,157804,0,58800.00000000001
N,2020,1,Thursday,January,150.0,58.0,24.0,4,1041359,192689,0,74400.0
N,2020,5,Friday,January,170.0,59.0,29.0,5,963882,173882,0,67200.0
N,2020,10,Saturday,January,200.0,66.0,35.0,5,987866,214721,0,73200.0
N,2020,1,Friday,January,140.0,59.0,25.0,30,996049,219855,0,78240.0
N,2020,0,Friday,January,160.0,57.0,25.0,14,996049,219855,0,78240.0
N,2020,3,Friday,January,100.0,52.0,13.0,5,999049,226734,0,63840.00000000001
N,2020,3,Friday,January,130.0,55.0,12.0,5,999049,226734,0,63840.00000000001
N,2020,3,Friday,January,100.0,53.0,15.0,5,999049,226734,0,63840.00000000001
N,2020,1,Saturday,January,160.0,62.0,23.0,4,996240,236149,0,81660.0
N,2020,1,Friday,January,170.0,511.0,54.0,2,1023363,239114,0,45000.0
Y,2020,1,Saturday,January,145.0,57.0,26.0,10,1013704,248272,0,53160.0
N,2020,1,Friday,January,190.0,58.0,27.0,1,1017689,256143,0,54360.0
N,2020,1,Friday,January,140.0,57.0,22.0,2,984854,148537,0,86100.0
N,2020,1,Sunday,January,220.0,58.0,37.0,5,985829,148974,0,1380.0
Y,2020,1,Wednesday,January,140.0,56.0,15.0,8,1002999,168896,0,71520.0
N,2020,1,Wednesday,January,140.0,56.0,16.0,8,1002999,168896,0,71520.0
Y,2020,1,Saturday,January,165.0,58.0,18.0,5,1018293,211333,0,15600.000000000002
N,2020,1,Saturday,January,130.0,56.0,15.0,9,1028162,201227,0,60960.00000000001
N,2020,1,Saturday,January,135.0,56.0,15.0,9,1028162,201227,0,60960.00000000001
Y,2020,1,Saturday,January,130.0,54.0,15.0,9,1028162,201227,0,60960.00000000001
N,2020,1,Saturday,January,180.0,6.0,30.0,1,1020621,216520,0,3900.0000000000005
N,2020,0,Friday,January,170.0,56.0,34.0,2,983781,209204,0,3480.0
N,2020,15,Sunday,January,145.0,59.0,22.0,4,998590,221249,0,13200.0
Y,2020,2,Saturday,January,160.0,59.0,17.0,1,1010430,245242,0,81900.0
N,2020,1,Tuesday,January,140.0,57.0,37.0,10,998539,172794,0,12840.0
N,2020,1,Wednesday,January,120.0,53.0,12.0,5,1003505,177483,0,0.0
N,2020,1,Sunday,January,170.0,62.0,26.0,10,1004945,181004,1,8700.0
Y,2020,0,Wednesday,January,160.0,51.0,17.0,2,1059607,195202,0,39000.0
Y,2020,0,Wednesday,January,190.0,61.0,17.0,5,1059607,195202,0,39000.0
N,2020,0,Thursday,January,200.0,6.0,0.0,10,1009742,253415,0,62100.00000000001
N,2020,0,Thursday,January,150.0,59.0,31.0,5,991539,192482,0,63480.00000000001
N,2020,5,Friday,January,150.0,51.0,0.0,10,1038353,206208,0,55200.0
N,2020,2,Sunday,January,180.0,51.0,33.0,10,1014628,211168,0,43500.0
Y,2020,1,Friday,January,180.0,511.0,39.0,5,1060256,218491,0,81300.0
Y,2020,5,Sunday,January,210.0,58.0,25.0,10,1001223,229733,0,58680.00000000001
Y,2020,5,Sunday,January,160.0,56.0,26.0,10,1001223,229733,0,58680.00000000001
N,2020,1,Sunday,January,160.0,59.0,41.0,33,1001397,239103,0,69960.0
N,2020,1,Sunday,January,150.0,511.0,20.0,5,1013906,236686,0,69600.0
N,2020,1,Sunday,January,175.0,6.0,0.0,19,1006956,242710,0,61500.00000000001
N,2020,0,Friday,January,160.0,58.0,16.0,1,1044476,156655,0,78540.0
N,2020,2,Sunday,January,200.0,61.0,40.0,18,984112,206087,1,27840.0
Y,2020,2,Thursday,January,200.0,6.0,50.0,9,1000572,227906,0,14220.0
Y,2020,1,Monday,January,150.0,54.0,31.0,5,1011598,238121,0,7500.000000000001
Y,2020,0,Monday,January,300.0,6.0,0.0,7,1009507,250861,0,12600.0
Y,2020,1,Thursday,January,150.0,56.0,24.0,10,986196,148160,0,11100.0
N,2020,2,Saturday,January,160.0,57.0,16.0,8,977025,165864,0,67500.0
N,2020,2,Saturday,January,160.0,58.0,16.0,8,977025,165864,0,67500.0
N,2020,0,Saturday,January,160.0,57.0,16.0,8,977025,165864,0,67500.0
N,2020,0,Saturday,January,140.0,59.0,16.0,8,977025,165864,0,67500.0
Y,2020,2,Sunday,January,135.0,57.0,26.0,5,1028646,189243,0,32760.000000000004
N,2020,845,Thursday,January,180.0,51.0,34.0,9,954943,148360,0,31560.000000000004
Y,2020,5,Saturday,January,160.0,57.0,27.0,10,983674,200401,0,39060.0
N,2020,1,Tuesday,January,200.0,62.0,55.0,14,983295,208425,0,52920.0
N,2020,1,Sunday,January,160.0,58.0,20.0,5,1021107,243459,0,80280.0
N,2020,1,Monday,January,200.0,55.0,33.0,10,1010080,258236,0,32700.000000000004
N,2020,0,Sunday,January,210.0,62.0,32.0,9,1012822,255633,0,64500.00000000001
N,2020,0,Sunday,January,160.0,58.0,0.0,9,1012822,255633,0,64500.00000000001
