YEAR,MONTH,DAY,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,SUSPECT_ARRESTED_FLAG,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,WEAPON_FOUND_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_BORO_NAME,SECONDS
2020,January,Sunday,Based on Radio Run,POM,1,LARCENY,5,Y,N,N,Y,N,N,N,45.0,MALE,WHITE,61.0,230.0,Other,BLU,BLN,985099,172028,11219,BROOKLYN,2400.0
2020,January,Friday,Based on Self Initiated,POM,2,Other,3,Y,N,N,N,Y,Y,N,24.0,MALE,WHITE HISPANIC,58.0,175.0,MED,BRO,BLK,995052,231133,10025,MANHATTAN,2880.0
2020,January,Friday,Based on Self Initiated,POM,1,Other,5,Y,N,N,N,Y,Y,N,14.0,MALE,WHITE HISPANIC,59.0,145.0,THN,BRO,BLK,1007554,235395,10455,BRONX,85500.0
2020,January,Friday,Based on Self Initiated,POM,1,Other,8,Y,N,N,N,Y,Y,N,17.0,MALE,WHITE HISPANIC,56.0,160.0,THN,BRO,BLK,1007554,235395,10455,BRONX,85500.0
2020,January,Friday,Based on Self Initiated,POM,1,Other,5,Y,Y,N,N,Y,Y,Y,15.0,MALE,BLACK,6.0,180.0,MED,BRO,BLK,1007554,235395,10455,BRONX,85500.0
2020,January,Friday,Based on Self Initiated,POM,1,Other,8,Y,N,N,N,Y,Y,N,17.0,MALE,BLACK HISPANIC,51.0,180.0,THN,BRO,BLK,1007554,235395,10455,BRONX,85500.0
2020,January,Sunday,Based on Self Initiated,POM,1,ASSAULT,10,Y,N,N,Y,Y,N,N,28.0,MALE,BLACK,6.0,180.0,MED,BRO,BLK,1007140,178783,11212,BROOKLYN,14400.0
2020,January,Saturday,Based on Radio Run,POM,1,BURGLARY,2,Y,N,N,N,Y,N,N,37.0,MALE,WHITE HISPANIC,59.0,320.0,Other,BRO,BLK,1019139,212528,11372,QUEENS,12300.0
2020,January,Sunday,Based on Radio Run,POM,1,ROBBERY,7,Y,N,N,N,Y,N,N,33.0,MALE,WHITE HISPANIC,55.0,180.0,MED,BRO,BLK,1021542,213647,11368,QUEENS,10920.0
2020,January,Sunday,Based on Radio Run,POM,1,BURGLARY,6,Y,N,N,N,Y,N,N,24.0,MALE,WHITE HISPANIC,54.0,150.0,THN,BRO,BLK,1019137,212847,11372,QUEENS,9720.0
2020,January,Sunday,Based on Radio Run,POM,1,ROBBERY,7,Y,N,N,N,Y,N,N,36.0,MALE,WHITE HISPANIC,58.0,180.0,MED,BRO,BLK,1021542,213647,11368,QUEENS,10920.0
