YEAR,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,SUSPECT_ARRESTED_FLAG,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_BORO_NAME,SECONDS
2019,Based on Radio Run,POM,2.0,ASSAULT,5.0,N,Y,N,Y,Y,Y,Y,Y,Y,Y,42,MALE,BLACK,5.7,165,MED,BRO,Other,988548.0,198823.0,MANHATTAN,64140.00000000001
2019,Based on Self Initiated,POM,1.0,LARCENY,7.0,Y,Y,N,N,N,Y,N,(,Y,Y,22,FEMALE,WHITE HISPANIC,5.2,100,THN,BRO,Other,987400.0,202038.0,MANHATTAN,6900.0
2019,Based on Self Initiated,POM,1.0,LARCENY,7.0,Y,Y,N,N,N,Y,N,(,Y,Y,27,MALE,WHITE HISPANIC,5.7,150,THN,BRO,BLK,987400.0,202038.0,MANHATTAN,6900.0
2019,Based on Self Initiated,POM,10.0,ROBBERY,5.0,Y,Y,N,N,N,Y,N,Y,Y,Y,27,MALE,BLACK HISPANIC,6.2,180,THN,BRO,BLK,987867.0,201950.0,MANHATTAN,6600.0
2019,Based on Radio Run,POM,1.0,ASSAULT,7.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,25,FEMALE,WHITE HISPANIC,5.5,110,THN,BRO,BLK,988332.0,201107.0,MANHATTAN,4080.0000000000005
2019,Based on Radio Run,POM,5.0,LARCENY,12.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,50,MALE,BLACK,6,200,Other,BRO,BLK,988051.0,202409.0,MANHATTAN,48300.0
2019,Based on C/W on Scene,Other,1.0,ASSAULT,10.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,31,FEMALE,BLACK,5.7,168,MED,BRO,BLK,986382.0,198846.0,MANHATTAN,4380.0
2019,Based on C/W on Scene,POM,1.0,ASSAULT,5.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,28,MALE,WHITE HISPANIC,5.4,170,MED,BRO,BLK,986967.0,199425.0,MANHATTAN,30600.000000000004
2019,Based on C/W on Scene,POM,2.0,ASSAULT,5.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,30,MALE,WHITE HISPANIC,5.5,160,MED,BRO,BLK,986382.0,198846.0,MANHATTAN,30600.000000000004
2019,Based on C/W on Scene,POM,2.0,ASSAULT,5.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,30,MALE,WHITE HISPANIC,5.4,160,MED,BRO,Other,987030.0,198913.0,MANHATTAN,30600.000000000004
